order_item_id,order_id,product_id,quantity,item_status,delivered_at
66,104,31,3,Delivered,11/13/2025
67,122,17,5,Delivered,12/01/2025
68,201,12,5,Delivered,12/05/2025
69,171,5,3,Delivered,11/17/2025
70,287,37,7,Delivered,11/25/2025
71,53,82,6,Delivered,11/29/2025
72,248,16,5,Shipped,""
73,287,12,7,Delivered,11/25/2025
74,54,18,6,Processing,""
75,68,11,4,Pending,""
76,91,65,9,Shipped,""
77,147,33,9,Delivered,11/27/2025
78,12,87,10,Delivered,11/12/2025
79,29,58,1,Pending,""
80,102,13,9,Delivered,12/12/2025
81,161,27,7,Delivered,11/30/2025
82,74,76,1,Pending,""
83,164,9,1,Delivered,11/05/2025
84,202,74,2,Shipped,""
85,96,28,6,Shipped,""
86,220,15,9,Shipped,""
87,252,74,9,Delivered,11/27/2025
88,139,50,3,Processing,""
89,270,10,3,Delivered,11/19/2025
90,3,27,1,Pending,""
91,258,60,8,Delivered,12/01/2025
92,43,82,9,Delivered,12/08/2025
93,197,67,2,Delivered,12/17/2025
94,231,23,3,Delivered,11/14/2025
95,210,34,7,Processing,""
96,292,16,8,Delivered,12/10/2025
97,189,11,8,Processing,""
98,147,19,3,Delivered,11/27/2025
99,138,3,9,Delivered,11/21/2025
100,95,22,3,Delivered,11/18/2025
101,165,84,7,Delivered,12/11/2025
102,137,6,7,Pending,""
103,200,17,3,Delivered,12/15/2025
104,139,46,3,Processing,""
105,18,78,9,Delivered,11/09/2025
106,185,68,10,Delivered,12/11/2025
107,158,92,5,Delivered,11/14/2025
108,123,43,2,Delivered,12/04/2025
109,127,86,8,Delivered,12/11/2025
110,69,83,6,Delivered,11/14/2025
111,21,47,1,Delivered,12/12/2025
112,238,53,10,Shipped,""
113,199,94,5,Delivered,11/30/2025
114,104,80,10,Delivered,11/13/2025
115,84,81,5,Delivered,12/12/2025
116,161,28,2,Delivered,11/30/2025
117,84,23,6,Delivered,12/12/2025
118,145,45,2,Processing,""
119,115,23,2,Pending,""
120,194,54,2,Shipped,""
121,22,35,9,Pending,""
122,271,34,4,Processing,""
123,4,39,4,Delivered,12/13/2025
124,192,50,3,Pending,""
125,192,2,10,Pending,""
126,212,51,8,Delivered,12/02/2025
127,20,19,1,Shipped,""
128,188,5,1,Delivered,11/20/2025
129,43,52,8,Delivered,12/08/2025
130,199,30,9,Delivered,11/30/2025
131,215,25,9,Delivered,12/10/2025
132,13,17,3,Delivered,12/05/2025
133,273,48,7,Delivered,11/18/2025
134,47,81,4,Delivered,12/07/2025
135,120,42,2,Shipped,""
136,280,51,1,Delivered,11/22/2025
137,114,93,7,Delivered,11/23/2025
138,174,7,6,Shipped,""
139,138,52,10,Delivered,11/21/2025
140,52,79,8,Delivered,11/11/2025
141,105,11,3,Delivered,11/15/2025
142,215,3,6,Delivered,12/10/2025
143,160,11,2,Delivered,12/13/2025
144,43,45,10,Delivered,12/08/2025
145,200,56,10,Delivered,12/15/2025
146,54,21,3,Processing,""
147,66,88,3,Delivered,12/05/2025
148,228,51,4,Delivered,12/04/2025
149,278,93,2,Delivered,11/21/2025
150,280,100,9,Delivered,11/22/2025
151,90,37,6,Delivered,11/09/2025
152,234,23,5,Delivered,12/10/2025
153,96,63,4,Shipped,""
154,64,50,7,Delivered,12/11/2025
155,30,25,8,Pending,""
156,273,50,10,Delivered,11/18/2025
157,152,64,6,Shipped,""
158,186,61,8,Delivered,11/29/2025
159,263,91,9,Pending,""
160,173,86,1,Shipped,""
161,258,91,3,Delivered,12/01/2025
162,182,33,9,Delivered,12/08/2025
163,228,6,6,Delivered,12/04/2025
164,15,6,3,Pending,""
165,224,32,5,Shipped,""
166,211,19,8,Delivered,11/05/2025
167,205,36,5,Shipped,""
168,297,8,8,Delivered,12/05/2025
169,90,59,2,Delivered,11/09/2025
170,227,20,7,Delivered,11/11/2025
171,228,93,5,Delivered,12/04/2025
172,156,88,2,Pending,""
173,184,47,6,Delivered,11/23/2025
174,179,77,5,Delivered,11/24/2025
175,23,12,3,Delivered,12/13/2025
176,109,6,8,Delivered,12/16/2025
177,257,41,7,Delivered,11/17/2025
178,300,14,6,Shipped,""
179,149,88,8,Processing,""
180,160,13,10,Delivered,12/13/2025
181,267,60,3,Delivered,11/21/2025
182,109,96,5,Delivered,12/16/2025
183,29,73,2,Pending,""
184,198,26,4,Processing,""
185,100,70,2,Delivered,12/07/2025
186,136,92,1,Delivered,11/24/2025
187,37,48,4,Delivered,12/06/2025
188,36,88,1,Delivered,11/12/2025
189,210,72,9,Processing,""
190,161,5,4,Delivered,11/30/2025
191,177,48,8,Shipped,""
192,249,31,7,Shipped,""
193,227,35,2,Delivered,11/11/2025
194,10,22,7,Delivered,11/29/2025
195,89,66,5,Processing,""
196,213,60,7,Processing,""
197,80,40,6,Delivered,12/06/2025
198,93,93,6,Delivered,11/08/2025
199,117,39,1,Shipped,""
200,59,45,1,Pending,""
201,243,11,1,Delivered,12/11/2025
202,162,11,10,Delivered,12/06/2025
203,224,39,7,Shipped,""
204,162,50,3,Delivered,12/06/2025
205,77,84,6,Shipped,""
206,282,33,2,Delivered,11/14/2025
207,27,72,1,Delivered,12/06/2025
208,137,1,10,Pending,""
209,146,81,10,Pending,""
210,201,23,2,Delivered,12/05/2025
211,132,64,10,Delivered,11/17/2025
212,41,54,10,Delivered,11/13/2025
213,110,18,6,Processing,""
214,255,56,6,Shipped,""
215,115,61,1,Pending,""
216,20,88,8,Shipped,""
217,71,51,7,Shipped,""
218,139,21,3,Processing,""
219,297,84,6,Delivered,12/05/2025
220,297,6,8,Delivered,12/05/2025
221,296,74,1,Processing,""
222,51,57,10,Delivered,11/07/2025
223,154,17,3,Delivered,11/10/2025
224,253,94,3,Shipped,""
225,14,86,8,Pending,""
226,96,76,6,Shipped,""
227,242,45,7,Processing,""
228,51,43,4,Delivered,11/07/2025
229,28,46,2,Delivered,11/12/2025
230,199,9,9,Delivered,11/30/2025
231,119,26,3,Pending,""
232,71,85,6,Shipped,""
233,109,23,6,Delivered,12/16/2025
234,250,13,7,Delivered,12/14/2025
235,255,82,7,Shipped,""
236,102,93,4,Delivered,12/12/2025
237,84,31,9,Delivered,12/12/2025
238,17,6,8,Shipped,""
239,35,18,8,Processing,""
240,84,29,6,Delivered,12/12/2025
241,270,36,6,Delivered,11/19/2025
242,165,10,2,Delivered,12/11/2025
243,53,99,9,Delivered,11/29/2025
244,166,60,7,Processing,""
245,13,31,5,Delivered,12/05/2025
246,64,63,5,Delivered,12/11/2025
247,286,69,3,Delivered,11/05/2025
248,224,11,8,Shipped,""
249,238,8,4,Shipped,""
250,75,91,5,Shipped,""
251,281,22,1,Shipped,""
252,294,69,2,Pending,""
253,292,56,7,Delivered,12/10/2025
254,34,19,4,Delivered,12/04/2025
255,274,26,10,Delivered,12/06/2025
256,98,64,2,Delivered,12/01/2025
257,55,59,3,Delivered,11/13/2025
258,92,78,8,Processing,""
259,271,26,6,Processing,""
260,99,100,10,Delivered,11/17/2025
261,77,46,3,Shipped,""
262,284,18,1,Shipped,""
263,210,88,4,Processing,""
264,217,78,1,Pending,""
265,25,43,10,Delivered,11/20/2025
266,260,67,8,Shipped,""
267,124,28,2,Shipped,""
268,1,64,10,Processing,""
269,204,5,4,Delivered,12/17/2025
270,160,8,9,Delivered,12/13/2025
271,91,8,4,Shipped,""
272,166,70,6,Processing,""
273,283,62,10,Delivered,11/28/2025
274,21,18,5,Delivered,12/12/2025
275,33,41,2,Delivered,11/18/2025
276,67,54,4,Processing,""
277,22,87,10,Pending,""
278,58,79,9,Delivered,11/12/2025
279,119,87,4,Pending,""
280,178,68,4,Delivered,11/08/2025
281,187,9,4,Delivered,11/08/2025
282,116,41,9,Delivered,12/13/2025
283,54,89,8,Processing,""
284,90,45,6,Delivered,11/09/2025
285,193,33,1,Shipped,""
286,193,57,8,Shipped,""
287,67,62,4,Processing,""
288,190,51,5,Delivered,11/06/2025
289,94,74,7,Delivered,11/29/2025
290,237,48,1,Delivered,11/06/2025
291,84,94,3,Delivered,12/12/2025
292,10,58,8,Delivered,11/29/2025
293,149,21,10,Processing,""
294,37,98,7,Delivered,12/06/2025
295,66,97,7,Delivered,12/05/2025
296,81,27,1,Pending,""
297,168,30,9,Delivered,11/26/2025
298,74,33,3,Pending,""
299,170,91,1,Pending,""
300,263,97,3,Pending,""
301,206,32,5,Delivered,11/07/2025
302,264,89,3,Pending,""
303,176,74,2,Delivered,11/04/2025
304,249,43,7,Shipped,""
305,248,14,9,Shipped,""
306,180,13,7,Delivered,11/20/2025
307,217,77,4,Pending,""
308,75,93,2,Shipped,""
309,80,68,6,Delivered,12/06/2025
310,234,61,3,Delivered,12/10/2025
311,212,38,5,Delivered,12/02/2025
312,49,99,5,Delivered,11/28/2025
313,297,36,10,Delivered,12/05/2025
314,30,55,10,Pending,""
315,183,83,7,Delivered,11/16/2025
316,261,11,9,Delivered,11/17/2025
317,161,13,9,Delivered,11/30/2025
318,43,62,3,Delivered,12/08/2025
319,234,40,7,Delivered,12/10/2025
320,131,56,6,Processing,""
321,276,22,7,Shipped,""
322,86,76,1,Processing,""
323,162,52,5,Delivered,12/06/2025
324,134,63,3,Delivered,11/07/2025
325,6,85,6,Shipped,""
326,244,9,4,Shipped,""
327,272,67,9,Shipped,""
328,18,76,8,Delivered,11/09/2025
329,43,15,6,Delivered,12/08/2025
330,225,3,1,Delivered,11/20/2025
331,96,10,5,Shipped,""
332,179,76,9,Delivered,11/24/2025
333,190,61,2,Delivered,11/06/2025
334,2,88,8,Pending,""
335,83,81,6,Delivered,11/25/2025
336,92,29,8,Processing,""
337,105,24,6,Delivered,11/15/2025
338,88,96,2,Delivered,12/04/2025
339,80,53,9,Delivered,12/06/2025
340,256,74,10,Shipped,""
341,138,31,1,Delivered,11/21/2025
342,229,19,5,Delivered,12/03/2025
343,231,84,3,Delivered,11/14/2025
344,89,93,5,Processing,""
345,150,48,1,Processing,""
346,215,55,10,Delivered,12/10/2025
347,140,8,5,Processing,""
348,285,40,7,Processing,""
349,291,18,2,Shipped,""
350,262,42,9,Delivered,11/16/2025
351,11,78,4,Delivered,12/06/2025
352,96,88,8,Shipped,""
353,118,34,1,Delivered,12/08/2025
354,117,30,9,Shipped,""
355,32,1,4,Pending,""
356,204,67,2,Delivered,12/17/2025
357,167,99,8,Delivered,11/08/2025
358,99,77,9,Delivered,11/17/2025
359,242,82,4,Processing,""
360,110,1,1,Processing,""
361,50,55,3,Delivered,12/09/2025
362,241,63,1,Shipped,""
363,34,67,10,Delivered,12/04/2025
364,83,49,9,Delivered,11/25/2025
365,239,18,3,Delivered,12/14/2025
366,142,17,2,Delivered,11/13/2025
367,113,60,5,Delivered,11/15/2025
368,125,53,6,Delivered,12/08/2025
369,74,11,6,Pending,""
370,98,21,1,Delivered,12/01/2025
371,19,39,9,Shipped,""
372,104,23,9,Delivered,11/13/2025
373,108,16,3,Delivered,11/08/2025
374,247,78,6,Pending,""
375,118,9,10,Delivered,12/08/2025
376,244,18,8,Shipped,""
377,87,5,6,Delivered,11/08/2025
378,166,44,6,Processing,""
379,256,77,8,Shipped,""
380,71,62,5,Shipped,""
381,216,7,8,Delivered,11/16/2025
382,250,11,8,Delivered,12/14/2025
383,91,4,2,Shipped,""
384,193,37,3,Shipped,""
385,297,21,4,Delivered,12/05/2025
386,19,36,3,Shipped,""
387,150,14,4,Processing,""
388,40,25,9,Pending,""
389,151,3,8,Processing,""
390,159,43,10,Delivered,11/27/2025
391,168,31,2,Delivered,11/26/2025
392,112,14,4,Pending,""
393,210,3,10,Processing,""
394,191,63,2,Delivered,12/11/2025
395,270,53,8,Delivered,11/19/2025
396,167,28,10,Delivered,11/08/2025
397,202,43,10,Shipped,""
398,181,29,5,Pending,""
399,20,89,10,Shipped,""
400,108,32,8,Delivered,11/08/2025
401,24,18,8,Delivered,12/11/2025
402,174,76,8,Shipped,""
403,223,49,1,Processing,""
404,222,80,5,Shipped,""
405,263,55,4,Pending,""
406,196,4,2,Delivered,11/19/2025
407,174,39,4,Shipped,""
408,115,27,2,Pending,""
409,99,5,1,Delivered,11/17/2025
410,201,31,6,Delivered,12/05/2025
411,260,91,10,Shipped,""
412,234,73,6,Delivered,12/10/2025
413,82,26,10,Shipped,""
414,84,71,6,Delivered,12/12/2025
415,120,26,7,Shipped,""
416,187,71,4,Delivered,11/08/2025
417,168,34,9,Delivered,11/26/2025
418,143,3,1,Delivered,11/18/2025
419,283,5,5,Delivered,11/28/2025
420,286,32,9,Delivered,11/05/2025
421,173,66,2,Shipped,""
422,72,22,4,Processing,""
423,104,34,1,Delivered,11/13/2025
424,242,36,4,Processing,""
425,143,98,2,Delivered,11/18/2025
426,35,28,4,Processing,""
427,127,70,1,Delivered,12/11/2025
428,152,63,1,Shipped,""
429,54,92,4,Processing,""
430,226,57,2,Shipped,""
431,80,26,6,Delivered,12/06/2025
432,102,56,5,Delivered,12/12/2025
433,104,39,8,Delivered,11/13/2025
434,41,53,5,Delivered,11/13/2025
435,283,86,7,Delivered,11/28/2025
436,225,98,9,Delivered,11/20/2025
437,233,63,8,Delivered,12/09/2025
438,210,4,6,Processing,""
439,231,51,9,Delivered,11/14/2025
440,61,78,2,Delivered,11/07/2025
441,229,66,3,Delivered,12/03/2025
442,224,46,8,Shipped,""
443,193,63,9,Shipped,""
444,115,3,2,Pending,""
445,263,8,6,Pending,""
446,191,74,6,Delivered,12/11/2025
447,68,1,2,Pending,""
448,40,68,4,Pending,""
449,161,90,9,Delivered,11/30/2025
450,46,69,8,Delivered,12/06/2025
451,189,36,2,Processing,""
452,71,29,8,Shipped,""
453,26,68,9,Delivered,12/10/2025
454,23,34,9,Delivered,12/13/2025
455,147,87,2,Delivered,11/27/2025
456,44,20,10,Delivered,12/14/2025
457,266,54,10,Delivered,11/18/2025
458,96,78,5,Shipped,""
459,255,43,7,Shipped,""
460,96,74,1,Shipped,""
461,41,51,7,Delivered,11/13/2025
462,242,75,5,Processing,""
463,81,95,9,Pending,""
464,214,39,4,Pending,""
465,289,43,8,Pending,""
466,124,62,10,Shipped,""
467,91,44,2,Shipped,""
468,120,39,10,Shipped,""
469,113,6,5,Delivered,11/15/2025
470,61,35,10,Delivered,11/07/2025
471,9,43,9,Delivered,12/01/2025
472,258,54,4,Delivered,12/01/2025
473,254,70,6,Delivered,12/07/2025
474,152,95,3,Shipped,""
475,117,62,7,Shipped,""
476,210,35,2,Processing,""
477,110,23,6,Processing,""
478,224,75,3,Shipped,""
479,186,6,10,Delivered,11/29/2025
480,105,23,6,Delivered,11/15/2025
481,96,92,3,Shipped,""
482,34,21,3,Delivered,12/04/2025
483,183,96,5,Delivered,11/16/2025
484,77,44,9,Shipped,""
485,187,82,7,Delivered,11/08/2025
486,53,80,7,Delivered,11/29/2025
487,131,49,4,Processing,""
488,183,83,9,Delivered,11/16/2025
489,119,61,4,Pending,""
490,123,100,8,Delivered,12/04/2025
491,37,39,1,Delivered,12/06/2025
492,291,11,5,Shipped,""
493,134,32,6,Delivered,11/07/2025
494,68,20,8,Pending,""
495,266,4,5,Delivered,11/18/2025
496,270,29,2,Delivered,11/19/2025
497,146,43,7,Pending,""
498,206,76,1,Delivered,11/07/2025
499,168,97,4,Delivered,11/26/2025
500,171,60,1,Delivered,11/17/2025
501,151,80,7,Processing,""
502,100,14,8,Delivered,12/07/2025
503,218,55,4,Delivered,12/11/2025
504,212,31,10,Delivered,12/02/2025
505,276,15,8,Shipped,""
506,174,50,2,Shipped,""
507,241,31,1,Shipped,""
508,81,28,5,Pending,""
509,23,89,3,Delivered,12/13/2025
510,91,99,5,Shipped,""
511,139,59,10,Processing,""
512,299,10,8,Processing,""
513,147,44,3,Delivered,11/27/2025
514,277,31,1,Delivered,12/09/2025
515,54,69,3,Processing,""
516,221,51,8,Shipped,""
517,157,42,2,Delivered,12/02/2025
518,248,11,6,Shipped,""
519,83,43,5,Delivered,11/25/2025
520,166,89,9,Processing,""
521,233,82,10,Delivered,12/09/2025
522,240,77,10,Delivered,11/27/2025
523,87,70,6,Delivered,11/08/2025
524,24,95,9,Delivered,12/11/2025
525,155,82,7,Delivered,12/14/2025
526,44,48,8,Delivered,12/14/2025
527,41,36,3,Delivered,11/13/2025
528,99,56,4,Delivered,11/17/2025
529,203,85,10,Pending,""
530,268,56,10,Processing,""
531,178,69,7,Delivered,11/08/2025
532,166,73,10,Processing,""
533,269,43,2,Delivered,12/14/2025
534,102,38,10,Delivered,12/12/2025
535,10,56,1,Delivered,11/29/2025
536,187,94,6,Delivered,11/08/2025
537,4,28,6,Delivered,12/13/2025
538,241,1,6,Shipped,""
539,126,23,8,Pending,""
540,81,31,8,Pending,""
541,131,12,8,Processing,""
542,243,30,4,Delivered,12/11/2025
543,216,98,1,Delivered,11/16/2025
544,10,26,5,Delivered,11/29/2025
545,289,100,8,Pending,""
546,269,66,2,Delivered,12/14/2025
547,294,5,2,Pending,""
548,292,15,7,Delivered,12/10/2025
549,60,34,5,Delivered,12/11/2025
550,242,91,8,Processing,""
551,167,87,1,Delivered,11/08/2025
552,177,41,4,Shipped,""
553,126,67,4,Pending,""
554,46,17,8,Delivered,12/06/2025
555,238,50,5,Shipped,""
556,125,5,7,Delivered,12/08/2025
557,237,76,7,Delivered,11/06/2025
558,295,100,7,Delivered,11/04/2025
559,259,80,3,Delivered,11/08/2025
560,204,1,5,Delivered,12/17/2025
561,222,71,10,Shipped,""
562,66,14,7,Delivered,12/05/2025
563,123,91,8,Delivered,12/04/2025
564,257,85,8,Delivered,11/17/2025
565,247,58,5,Pending,""
566,297,74,6,Delivered,12/05/2025
567,134,74,6,Delivered,11/07/2025
568,266,99,6,Delivered,11/18/2025
569,288,22,7,Pending,""
570,221,82,4,Shipped,""
571,91,74,9,Shipped,""
572,45,32,1,Delivered,11/22/2025
573,199,62,7,Delivered,11/30/2025
574,85,62,9,Shipped,""
575,28,18,3,Delivered,11/12/2025
576,238,11,2,Shipped,""
577,4,100,4,Delivered,12/13/2025
578,240,68,6,Delivered,11/27/2025
579,12,65,4,Delivered,11/12/2025
580,66,70,3,Delivered,12/05/2025
581,174,11,9,Shipped,""
582,167,24,2,Delivered,11/08/2025
583,132,23,9,Delivered,11/17/2025
584,286,91,5,Delivered,11/05/2025
585,228,9,8,Delivered,12/04/2025
586,55,90,8,Delivered,11/13/2025
587,233,19,9,Delivered,12/09/2025
588,285,31,1,Processing,""
589,151,39,4,Processing,""
590,140,69,9,Processing,""
591,49,86,5,Delivered,11/28/2025
592,116,33,4,Delivered,12/13/2025
593,180,42,6,Delivered,11/20/2025
594,62,89,8,Delivered,12/04/2025
595,227,12,7,Delivered,11/11/2025
596,209,29,7,Delivered,11/14/2025
597,127,87,2,Delivered,12/11/2025
598,254,90,4,Delivered,12/07/2025
599,30,89,9,Pending,""
600,141,34,9,Pending,""
601,77,71,4,Shipped,""
602,155,10,2,Delivered,12/14/2025
603,287,22,8,Delivered,11/25/2025
604,55,89,4,Delivered,11/13/2025
605,123,47,1,Delivered,12/04/2025
606,287,29,7,Delivered,11/25/2025
607,15,27,5,Pending,""
608,210,87,6,Processing,""
609,221,79,1,Shipped,""
610,76,93,4,Delivered,11/23/2025
611,224,59,8,Shipped,""
612,236,10,10,Delivered,11/05/2025
613,33,43,7,Delivered,11/18/2025
614,207,42,10,Shipped,""
615,135,8,10,Delivered,11/29/2025
616,179,81,5,Delivered,11/24/2025
617,95,66,7,Delivered,11/18/2025
618,94,64,1,Delivered,11/29/2025
619,279,55,2,Delivered,11/10/2025
620,295,26,9,Delivered,11/04/2025
621,158,97,7,Delivered,11/14/2025
622,273,68,10,Delivered,11/18/2025
623,189,43,10,Processing,""
624,227,9,3,Delivered,11/11/2025
625,46,83,6,Delivered,12/06/2025
626,77,35,8,Shipped,""
627,22,21,5,Pending,""
628,57,13,5,Processing,""
629,42,13,9,Delivered,12/05/2025
630,101,38,1,Processing,""
631,26,9,1,Delivered,12/10/2025
632,89,1,7,Processing,""
633,209,81,2,Delivered,11/14/2025
634,114,46,1,Delivered,11/23/2025
635,133,36,2,Delivered,11/14/2025
636,90,96,10,Delivered,11/09/2025
637,244,66,2,Shipped,""
638,146,34,7,Pending,""
639,240,41,2,Delivered,11/27/2025
640,240,58,9,Delivered,11/27/2025
641,34,5,10,Delivered,12/04/2025
642,232,1,2,Delivered,11/23/2025
643,240,80,7,Delivered,11/27/2025
644,35,31,7,Processing,""
645,281,20,4,Shipped,""
646,15,95,6,Pending,""
647,125,83,4,Delivered,12/08/2025
648,105,63,5,Delivered,11/15/2025
649,248,78,6,Shipped,""
650,267,88,6,Delivered,11/21/2025
651,29,55,4,Pending,""
652,281,24,9,Shipped,""
653,10,23,2,Delivered,11/29/2025
654,180,67,6,Delivered,11/20/2025
655,129,1,6,Delivered,11/23/2025
656,10,88,1,Delivered,11/29/2025
657,140,35,10,Processing,""
658,76,51,4,Delivered,11/23/2025
659,73,57,4,Shipped,""
660,248,48,4,Shipped,""
661,149,28,2,Processing,""
662,236,91,5,Delivered,11/05/2025
663,16,23,6,Delivered,11/15/2025
664,57,58,5,Processing,""
665,149,24,9,Processing,""
666,241,84,5,Shipped,""
667,263,96,4,Pending,""
668,115,4,5,Pending,""
669,237,97,5,Delivered,11/06/2025
670,261,53,10,Delivered,11/17/2025
671,60,71,4,Delivered,12/11/2025
672,54,54,8,Processing,""
673,265,10,4,Delivered,11/21/2025
674,50,9,7,Delivered,12/09/2025
675,175,47,2,Delivered,11/19/2025
676,287,40,10,Delivered,11/25/2025
677,4,11,3,Delivered,12/13/2025
678,197,72,10,Delivered,12/17/2025
679,24,44,7,Delivered,12/11/2025
680,126,53,4,Pending,""
681,199,95,10,Delivered,11/30/2025
682,252,57,7,Delivered,11/27/2025
683,105,94,1,Delivered,11/15/2025
684,83,29,6,Delivered,11/25/2025
685,24,70,6,Delivered,12/11/2025
686,256,93,4,Shipped,""
687,5,74,6,Delivered,12/09/2025
688,234,92,7,Delivered,12/10/2025
689,165,23,4,Delivered,12/11/2025
690,240,60,8,Delivered,11/27/2025
691,280,90,8,Delivered,11/22/2025
692,167,92,10,Delivered,11/08/2025
693,206,69,10,Delivered,11/07/2025
694,291,71,4,Shipped,""
695,87,70,4,Delivered,11/08/2025
696,138,44,2,Delivered,11/21/2025
697,207,57,4,Shipped,""
698,179,10,4,Delivered,11/24/2025
699,229,76,8,Delivered,12/03/2025
700,253,47,8,Shipped,""
701,42,100,2,Delivered,12/05/2025
702,5,63,1,Delivered,12/09/2025
703,249,33,2,Shipped,""
704,83,23,10,Delivered,11/25/2025
705,159,33,9,Delivered,11/27/2025
706,274,35,2,Delivered,12/06/2025
707,141,49,1,Pending,""
708,138,17,4,Delivered,11/21/2025
709,245,51,4,Delivered,11/12/2025
710,25,29,5,Delivered,11/20/2025
711,58,81,2,Delivered,11/12/2025
712,210,37,5,Processing,""
713,140,45,7,Processing,""
714,57,50,7,Processing,""
715,287,93,6,Delivered,11/25/2025
716,231,42,5,Delivered,11/14/2025
717,84,9,8,Delivered,12/12/2025
718,269,30,9,Delivered,12/14/2025
719,254,29,5,Delivered,12/07/2025
720,145,43,8,Processing,""
721,297,85,1,Delivered,12/05/2025
722,81,74,5,Pending,""
723,21,1,4,Delivered,12/12/2025
724,199,94,8,Delivered,11/30/2025
725,279,56,9,Delivered,11/10/2025
726,199,96,7,Delivered,11/30/2025
727,184,100,8,Delivered,11/23/2025
728,264,73,2,Pending,""
729,61,42,6,Delivered,11/07/2025
730,279,42,9,Delivered,11/10/2025
731,140,11,2,Processing,""
732,240,82,10,Delivered,11/27/2025
733,99,94,8,Delivered,11/17/2025
734,137,71,3,Pending,""
735,56,81,4,Processing,""
736,168,50,5,Delivered,11/26/2025
737,87,82,9,Delivered,11/08/2025
738,32,50,8,Pending,""
739,67,42,1,Processing,""
740,201,18,10,Delivered,12/05/2025
741,198,9,9,Processing,""
742,90,53,3,Delivered,11/09/2025
743,205,67,3,Shipped,""
744,78,31,4,Processing,""
745,298,15,3,Delivered,11/26/2025
746,253,11,8,Shipped,""
747,91,24,7,Shipped,""
748,240,1,4,Delivered,11/27/2025
749,275,70,9,Processing,""
750,4,78,6,Delivered,12/13/2025
751,59,99,5,Pending,""
752,151,31,3,Processing,""
753,41,29,10,Delivered,11/13/2025
754,72,69,8,Processing,""
755,259,26,4,Delivered,11/08/2025
756,209,46,1,Delivered,11/14/2025
757,23,83,4,Delivered,12/13/2025
758,41,6,9,Delivered,11/13/2025
759,9,53,1,Delivered,12/01/2025
760,186,4,1,Delivered,11/29/2025
761,267,37,8,Delivered,11/21/2025
762,173,65,6,Shipped,""
763,212,43,6,Delivered,12/02/2025
764,180,93,2,Delivered,11/20/2025
765,94,67,6,Delivered,11/29/2025
766,118,84,1,Delivered,12/08/2025
767,92,17,1,Processing,""
768,190,82,7,Delivered,11/06/2025
769,37,24,3,Delivered,12/06/2025
770,226,47,6,Shipped,""
771,232,37,9,Delivered,11/23/2025
772,175,84,7,Delivered,11/19/2025
773,170,5,1,Pending,""
774,291,91,8,Shipped,""
775,274,63,8,Delivered,12/06/2025
776,128,29,1,Shipped,""
777,285,21,7,Processing,""
778,41,8,6,Delivered,11/13/2025
779,33,39,9,Delivered,11/18/2025
780,66,11,5,Delivered,12/05/2025
781,282,63,2,Delivered,11/14/2025
782,156,9,6,Pending,""
783,23,63,3,Delivered,12/13/2025
784,272,82,8,Shipped,""
785,130,73,10,Pending,""
786,9,74,10,Delivered,12/01/2025
