order_id,customer_id,order_date,order_status,completed_at
98,49,11/28/2025,Delivered,12/01/2025
99,85,11/14/2025,Delivered,11/17/2025
100,9,12/04/2025,Delivered,12/07/2025
101,27,11/09/2025,Processing,""
102,93,12/09/2025,Delivered,12/12/2025
103,16,12/14/2025,Delivered,12/17/2025
104,70,11/10/2025,Delivered,11/13/2025
105,47,11/12/2025,Delivered,11/15/2025
106,95,11/28/2025,Delivered,12/01/2025
107,90,11/22/2025,Shipped,""
108,17,11/05/2025,Delivered,11/08/2025
109,75,12/13/2025,Delivered,12/16/2025
110,95,11/29/2025,Processing,""
111,54,11/24/2025,Delivered,11/27/2025
112,17,11/02/2025,Pending,""
113,96,11/12/2025,Delivered,11/15/2025
114,27,11/20/2025,Delivered,11/23/2025
115,14,11/30/2025,Pending,""
116,24,12/10/2025,Delivered,12/13/2025
117,5,11/13/2025,Shipped,""
118,17,12/05/2025,Delivered,12/08/2025
119,53,12/11/2025,Pending,""
120,20,11/23/2025,Shipped,""
121,35,11/18/2025,Delivered,11/21/2025
122,34,11/28/2025,Delivered,12/01/2025
123,19,12/01/2025,Delivered,12/04/2025
124,33,12/02/2025,Shipped,""
125,90,12/05/2025,Delivered,12/08/2025
126,95,11/07/2025,Pending,""
127,94,12/08/2025,Delivered,12/11/2025
128,61,11/04/2025,Shipped,""
129,78,11/20/2025,Delivered,11/23/2025
130,69,11/19/2025,Pending,""
131,54,11/28/2025,Processing,""
132,42,11/14/2025,Delivered,11/17/2025
133,52,11/11/2025,Delivered,11/14/2025
134,27,11/04/2025,Delivered,11/07/2025
135,41,11/26/2025,Delivered,11/29/2025
136,39,11/21/2025,Delivered,11/24/2025
137,64,11/29/2025,Pending,""
138,98,11/18/2025,Delivered,11/21/2025
139,75,11/30/2025,Processing,""
140,46,11/08/2025,Processing,""
141,42,11/11/2025,Pending,""
142,37,11/10/2025,Delivered,11/13/2025
143,98,11/15/2025,Delivered,11/18/2025
144,79,12/02/2025,Delivered,12/05/2025
145,92,12/01/2025,Processing,""
146,20,11/18/2025,Pending,""
147,12,11/24/2025,Delivered,11/27/2025
148,4,11/05/2025,Delivered,11/08/2025
149,36,11/07/2025,Processing,""
150,57,12/05/2025,Processing,""
151,75,11/21/2025,Processing,""
152,91,11/13/2025,Shipped,""
153,84,12/12/2025,Processing,""
154,21,11/07/2025,Delivered,11/10/2025
155,93,12/11/2025,Delivered,12/14/2025
156,99,11/19/2025,Pending,""
157,57,11/29/2025,Delivered,12/02/2025
158,39,11/11/2025,Delivered,11/14/2025
159,9,11/24/2025,Delivered,11/27/2025
160,67,12/10/2025,Delivered,12/13/2025
161,57,11/27/2025,Delivered,11/30/2025
162,18,12/03/2025,Delivered,12/06/2025
163,92,11/30/2025,Processing,""
164,25,11/02/2025,Delivered,11/05/2025
165,34,12/08/2025,Delivered,12/11/2025
166,24,12/11/2025,Processing,""
167,72,11/05/2025,Delivered,11/08/2025
168,34,11/23/2025,Delivered,11/26/2025
169,89,11/23/2025,Delivered,11/26/2025
170,71,11/13/2025,Pending,""
171,71,11/14/2025,Delivered,11/17/2025
172,65,11/09/2025,Delivered,11/12/2025
173,48,12/11/2025,Shipped,""
174,48,11/01/2025,Shipped,""
175,13,11/16/2025,Delivered,11/19/2025
176,5,11/01/2025,Delivered,11/04/2025
177,50,12/09/2025,Shipped,""
178,89,11/05/2025,Delivered,11/08/2025
179,66,11/21/2025,Delivered,11/24/2025
180,71,11/17/2025,Delivered,11/20/2025
181,94,11/30/2025,Pending,""
182,31,12/05/2025,Delivered,12/08/2025
183,40,11/13/2025,Delivered,11/16/2025
184,14,11/20/2025,Delivered,11/23/2025
185,56,12/08/2025,Delivered,12/11/2025
186,46,11/26/2025,Delivered,11/29/2025
187,80,11/05/2025,Delivered,11/08/2025
188,89,11/17/2025,Delivered,11/20/2025
189,81,11/01/2025,Processing,""
190,100,11/03/2025,Delivered,11/06/2025
191,32,12/08/2025,Delivered,12/11/2025
192,60,11/28/2025,Pending,""
193,65,12/04/2025,Shipped,""
194,27,11/08/2025,Shipped,""
195,63,11/11/2025,Delivered,11/14/2025
196,69,11/16/2025,Delivered,11/19/2025
197,100,12/14/2025,Delivered,12/17/2025
198,29,12/09/2025,Processing,""
199,26,11/27/2025,Delivered,11/30/2025
200,80,12/12/2025,Delivered,12/15/2025
201,56,12/02/2025,Delivered,12/05/2025
202,6,11/26/2025,Shipped,""
203,89,11/29/2025,Pending,""
204,59,12/14/2025,Delivered,12/17/2025
205,96,11/01/2025,Shipped,""
206,13,11/04/2025,Delivered,11/07/2025
207,78,12/06/2025,Shipped,""
208,34,12/07/2025,Shipped,""
209,96,11/11/2025,Delivered,11/14/2025
210,35,11/07/2025,Processing,""
211,2,11/02/2025,Delivered,11/05/2025
212,85,11/29/2025,Delivered,12/02/2025
213,67,12/08/2025,Processing,""
214,32,11/08/2025,Pending,""
215,87,12/07/2025,Delivered,12/10/2025
216,59,11/13/2025,Delivered,11/16/2025
217,2,12/08/2025,Pending,""
218,98,12/08/2025,Delivered,12/11/2025
219,26,11/14/2025,Delivered,11/17/2025
220,20,11/29/2025,Shipped,""
221,94,11/17/2025,Shipped,""
222,68,12/04/2025,Shipped,""
223,64,11/15/2025,Processing,""
224,81,11/29/2025,Shipped,""
225,43,11/17/2025,Delivered,11/20/2025
226,70,11/16/2025,Shipped,""
227,79,11/08/2025,Delivered,11/11/2025
228,24,12/01/2025,Delivered,12/04/2025
229,35,11/30/2025,Delivered,12/03/2025
230,37,12/02/2025,Processing,""
231,61,11/11/2025,Delivered,11/14/2025
232,95,11/20/2025,Delivered,11/23/2025
233,9,12/06/2025,Delivered,12/09/2025
234,43,12/07/2025,Delivered,12/10/2025
235,4,11/11/2025,Delivered,11/14/2025
236,49,11/02/2025,Delivered,11/05/2025
237,35,11/03/2025,Delivered,11/06/2025
238,53,11/25/2025,Shipped,""
239,97,12/11/2025,Delivered,12/14/2025
240,71,11/24/2025,Delivered,11/27/2025
241,2,12/14/2025,Shipped,""
242,9,12/11/2025,Processing,""
243,76,12/08/2025,Delivered,12/11/2025
244,73,12/07/2025,Shipped,""
245,16,11/09/2025,Delivered,11/12/2025
246,22,12/13/2025,Delivered,12/16/2025
247,38,11/05/2025,Pending,""
248,35,11/20/2025,Shipped,""
249,32,12/13/2025,Shipped,""
250,24,12/11/2025,Delivered,12/14/2025
251,95,11/12/2025,Pending,""
252,7,11/24/2025,Delivered,11/27/2025
253,90,11/24/2025,Shipped,""
254,46,12/04/2025,Delivered,12/07/2025
255,84,11/19/2025,Shipped,""
256,5,11/05/2025,Shipped,""
257,26,11/14/2025,Delivered,11/17/2025
258,41,11/28/2025,Delivered,12/01/2025
259,56,11/05/2025,Delivered,11/08/2025
260,13,11/14/2025,Shipped,""
261,98,11/14/2025,Delivered,11/17/2025
262,79,11/13/2025,Delivered,11/16/2025
263,76,11/25/2025,Pending,""
264,71,11/11/2025,Pending,""
265,99,11/18/2025,Delivered,11/21/2025
266,62,11/15/2025,Delivered,11/18/2025
267,25,11/18/2025,Delivered,11/21/2025
268,97,11/12/2025,Processing,""
269,10,12/11/2025,Delivered,12/14/2025
270,77,11/16/2025,Delivered,11/19/2025
271,39,12/10/2025,Processing,""
272,9,11/03/2025,Shipped,""
273,4,11/15/2025,Delivered,11/18/2025
274,90,12/03/2025,Delivered,12/06/2025
275,75,11/05/2025,Processing,""
276,23,12/09/2025,Shipped,""
277,18,12/06/2025,Delivered,12/09/2025
278,57,11/18/2025,Delivered,11/21/2025
279,36,11/07/2025,Delivered,11/10/2025
280,43,11/19/2025,Delivered,11/22/2025
281,89,11/13/2025,Shipped,""
282,31,11/11/2025,Delivered,11/14/2025
283,56,11/25/2025,Delivered,11/28/2025
284,33,11/05/2025,Shipped,""
285,42,12/14/2025,Processing,""
286,85,11/02/2025,Delivered,11/05/2025
287,50,11/22/2025,Delivered,11/25/2025
288,87,11/09/2025,Pending,""
289,38,11/25/2025,Pending,""
290,100,12/09/2025,Shipped,""
291,69,11/30/2025,Shipped,""
292,79,12/07/2025,Delivered,12/10/2025
293,74,11/14/2025,Shipped,""
294,9,11/13/2025,Pending,""
295,27,11/01/2025,Delivered,11/04/2025
296,80,11/23/2025,Processing,""
297,98,12/02/2025,Delivered,12/05/2025
298,59,11/23/2025,Delivered,11/26/2025
299,23,11/27/2025,Processing,""
300,87,11/14/2025,Shipped,""
